Timestamp,IMU1_Val1,IMU1_Val2,IMU1_Val3,IMU1_Val4,IMU1_Val5,IMU1_Val6,IMU1_Val7,IMU2_Val1,IMU2_Val2,IMU2_Val3,IMU2_Val4,IMU2_Val5,IMU2_Val6,IMU2_Val7,IMU3_Val1,IMU3_Val2,IMU3_Val3,IMU3_Val4,IMU3_Val5,IMU3_Val6,IMU3_Val7,IMU4_Val1,IMU4_Val2,IMU4_Val3,IMU4_Val4,IMU4_Val5,IMU4_Val6,IMU4_Val7,IMU5_Val1,IMU5_Val2,IMU5_Val3,IMU5_Val4,IMU5_Val5,IMU5_Val6,IMU5_Val7,IMU6_Val1,IMU6_Val2,IMU6_Val3,IMU6_Val4,IMU6_Val5,IMU6_Val6,IMU6_Val7
1745408183.042547,0.109449,-0.102494,180.042603,0.000000,385.336182,-1.816894,635979.312500,1.940529,-0.203241,180.106232,0.000000,6857.163574,5.325251,636429.250000,-17.012390,-104.443283,314.671326,0.000000,-105031.257812,-34863.648438,2156746.750000,-6.103424,-72.638519,237.113022,0.000000,-28393.761719,-8700.819336,1206599.875000,19.434746,-85.335426,248.306641,0.000000,94681.007812,32536.820312,1352560.625000,-4.290516,-78.720810,77.629593,0.000000,-6534.547852,-6629.073242,239812.140625
1745408183.042658,0.256564,-0.177047,180.067368,0.000000,905.145508,-1.139785,636154.687500,2.069301,-0.248852,180.151596,0.000000,7313.995605,7.642650,636750.250000,-17.146351,-104.376144,314.155914,0.000000,-105684.828125,-35115.601562,2150112.750000,-6.141053,-72.677696,237.228104,0.000000,-28582.638672,-8759.122070,1207782.500000,19.428831,-85.171425,248.558304,0.000000,94747.937500,32464.482422,1354465.375000,-4.445363,-78.785103,77.567085,0.000000,-6764.912109,-6873.842285,239820.484375
1745408183.086231,0.432398,-0.215631,180.076309,0.000000,1526.440430,-0.211240,636218.125000,2.215685,-0.355881,180.145279,0.000000,7831.195801,13.002923,636706.875000,-17.149736,-104.279945,313.830933,0.000000,-105596.406250,-35090.148438,2145714.750000,-6.131925,-72.672081,237.327698,0.000000,-28552.214844,-8745.462891,1208694.000000,19.441635,-85.060104,248.676941,0.000000,94855.421875,32443.439453,1355251.250000,-4.595979,-78.850204,77.544174,0.000000,-6992.057129,-7112.560547,239952.109375
1745408183.086397,0.630721,-0.237821,180.036514,0.000000,2226.668945,0.890430,635937.125000,2.271335,-0.458932,180.133469,0.000000,8027.373535,17.973045,636625.000000,-17.192858,-104.301018,313.741119,0.000000,-105831.187500,-35185.488281,2144695.000000,-6.021327,-72.602142,237.405853,0.000000,-28046.578125,-8579.512695,1209222.625000,19.437607,-85.002144,248.686813,0.000000,94839.656250,32414.605469,1355154.000000,-4.725116,-78.919418,77.548042,0.000000,-7188.894043,-7318.738281,240178.093750
1745408183.088240,0.840135,-0.209876,179.975327,0.000000,2965.420166,1.381796,635504.687500,2.247783,-0.595778,180.204071,0.000000,7947.376953,23.816458,637126.812500,-17.057480,-104.197418,313.665009,0.000000,-104972.875000,-34873.753906,2143334.250000,-5.858343,-72.369514,237.415207,0.000000,-27288.648438,-8320.717773,1208648.375000,19.429634,-84.992073,248.661636,0.000000,94791.195312,32397.447266,1354874.750000,-4.815377,-78.979027,77.562515,0.000000,-7327.654297,-7464.132812,240406.796875
1745408183.131286,1.057216,-0.152442,179.901260,0.000000,3730.483398,1.052042,634981.375000,1.984610,-0.756621,180.190689,0.000000,7016.488770,27.070116,637036.312500,-17.076893,-104.224129,313.738495,0.000000,-105116.765625,-34922.351562,2144348.000000,-5.710901,-72.169502,237.333725,0.000000,-26592.757812,-8088.665039,1207322.250000,19.414093,-85.021896,248.588181,0.000000,94687.445312,32382.908203,1354257.375000,-4.828700,-79.053825,77.562401,0.000000,-7348.004883,-7491.845215,240638.359375
1745408183.131416,1.259523,-0.058488,179.836105,0.000000,4443.020996,-0.712529,634521.125000,1.608454,-0.936908,180.276260,0.000000,5689.278320,27.207899,637647.562500,-17.060669,-104.299988,313.997498,0.000000,-105103.625000,-34914.613281,2147848.000000,-5.575905,-71.983131,237.304993,0.000000,-25961.031250,-7877.246582,1206527.625000,19.359194,-85.070793,248.469330,0.000000,94374.648438,32309.855469,1353261.375000,-4.803940,-79.096703,77.539825,0.000000,-7308.216797,-7457.479980,240702.718750
1745408183.134074,1.397105,0.028073,179.767303,0.000000,4926.626953,-2.996804,634035.687500,1.238269,-1.101111,180.302795,0.000000,4380.363770,24.466576,637841.937500,-16.988340,-104.422989,314.385742,0.000000,-104787.554688,-34807.601562,2153138.500000,-5.452320,-71.802948,237.284943,0.000000,-25383.615234,-7683.351562,1205832.625000,19.213732,-85.250153,248.269821,0.000000,93590.414062,32134.689453,1351916.125000,-4.789580,-79.134392,77.464149,0.000000,-7279.228516,-7438.738770,240589.609375
1745408183.176184,1.532735,0.114717,179.742477,0.000000,5404.282227,-5.729754,633860.812500,0.994923,-1.237617,180.233353,0.000000,3518.045410,21.868057,637357.125000,-17.001045,-104.535278,314.865509,0.000000,-105025.968750,-34871.093750,2159522.250000,-5.371600,-71.658669,237.245132,0.000000,-25003.656250,-7554.426758,1205056.125000,19.112875,-85.447571,248.049026,0.000000,93016.492188,32040.019531,1350427.125000,-4.812891,-79.158066,77.365326,0.000000,-7305.302734,-7477.167480,240362.968750
1745408183.222027,1.622347,0.160743,179.761490,0.000000,5720.923828,-7.429977,633995.187500,0.980170,-1.409146,180.208908,0.000000,3465.309814,24.786940,637193.312500,-16.830650,-104.586075,315.223419,0.000000,-104091.718750,-34538.449219,2164155.250000,-5.322824,-71.540596,237.207886,0.000000,-24772.691406,-7473.505371,1204377.750000,19.039301,-85.615326,247.855820,0.000000,92586.343750,31979.367188,1349110.125000,-4.868957,-79.183472,77.263664,0.000000,-7380.671875,-7566.690430,240133.453125
