Timestamp,IMU1_Val1,IMU1_Val2,IMU1_Val3,IMU1_Val4,IMU1_Val5,IMU1_Val6,IMU2_Val1,IMU2_Val2,IMU2_Val3,IMU2_Val4,IMU2_Val5,IMU2_Val6,IMU3_Val1,IMU3_Val2,IMU3_Val3,IMU3_Val4,IMU3_Val5,IMU3_Val6,IMU4_Val1,IMU4_Val2,IMU4_Val3,IMU4_Val4,IMU4_Val5,IMU4_Val6,IMU5_Val1,IMU5_Val2,IMU5_Val3,IMU5_Val4,IMU5_Val5,IMU5_Val6,IMU6_Val1,IMU6_Val2,IMU6_Val3,IMU6_Val4,IMU6_Val5,IMU6_Val6
1746694132.326974,-0.033672,0.844728,-0.453352,-9.870000,-17.150000,6.510000,-0.772992,-0.307440,0.557296,8.050000,-14.700000,-11.410000,0.061976,-0.862296,0.528992,1.120000,-12.600000,-1.190000,0.340136,-0.913536,0.160552,20.510000,18.059999,16.660000,0.024888,-0.996496,0.192760,0.210000,-6.370000,-1.750000,-0.171776,0.992592,-0.075640,-0.350000,-0.630000,-2.240000
1746694132.326984,-0.042944,0.881328,-0.456768,-11.340000,-18.270000,5.740000,-0.778848,-0.289384,0.562664,5.530000,-9.240000,-3.500000,0.030256,-0.876936,0.528992,-0.420000,-9.520000,-3.850000,0.284992,-0.919880,0.199592,14.560000,23.170000,11.830000,0.058560,-0.993080,0.210328,1.540000,-8.190000,-0.770000,-0.172264,1.001864,-0.069296,-0.280000,-0.630000,-3.990000
1746694132.327001,-0.056608,0.915976,-0.458232,-10.220000,-18.690001,5.180000,-0.794952,-0.267424,0.586576,8.890000,-8.680000,-9.730000,0.032696,-0.897432,0.538752,0.210000,6.650000,-7.840000,0.219600,-0.927200,0.235704,8.820000,29.400000,4.900000,0.038552,-1.001376,0.223992,1.750000,-8.190000,0.490000,-0.164456,1.012112,-0.067344,0.140000,-1.120000,-5.040000
1746694132.328870,-0.066368,0.938912,-0.459696,-9.380000,-19.250000,4.620000,-0.805200,-0.276696,0.617808,8.540000,-2.310000,0.000000,0.072224,-0.913048,0.549976,1.120000,4.550000,-7.700000,0.183000,-0.923296,0.271816,1.470000,34.860001,-3.920000,0.025376,-1.000400,0.240584,2.730000,-4.200000,-0.210000,-0.159576,1.028704,-0.061488,0.350000,-2.520000,-5.250000
1746694132.371961,-0.072224,0.943304,-0.456768,-7.630000,-19.459999,3.780000,-0.798856,-0.276696,0.630496,8.820000,5.810000,-3.990000,0.045384,-0.933544,0.555344,1.890000,3.500000,-6.930000,0.185928,-0.904752,0.291824,-7.070000,38.220001,-11.970000,0.046360,-0.987224,0.253760,3.640000,0.630000,-0.630000,-0.155184,1.033584,-0.059048,-0.770000,-3.570000,-4.900000
1746694132.371969,-0.079544,0.945744,-0.451888,-6.860000,-20.580000,2.940000,-0.788608,-0.295240,0.596824,6.510000,11.760000,-1.540000,0.034648,-0.938424,0.563640,2.730000,10.850000,-7.350000,0.178120,-0.901824,0.298168,-15.190000,40.389999,-21.000000,0.063440,-0.986248,0.264008,3.570000,1.190000,0.280000,-0.144448,1.036512,-0.052704,-1.680000,-4.830000,-4.130000
1746694132.416984,-0.101016,0.950136,-0.448960,-6.020000,-20.440001,2.520000,-0.785680,-0.279624,0.577304,6.580000,13.020000,0.210000,0.062952,-0.940376,0.557784,3.010000,10.780000,-6.440000,0.162016,-0.910608,0.285480,-24.010000,44.029999,-29.469999,0.024888,-0.980392,0.265472,3.710000,2.660000,0.490000,-0.139080,1.044808,-0.046848,-1.820000,-6.930000,-3.570000
1746694132.416992,-0.110776,0.951600,-0.445056,-4.340000,-19.600000,2.940000,-0.793976,-0.277184,0.583160,-5.950000,5.390000,-5.250000,0.061976,-0.931104,0.546560,3.850000,6.090000,-3.570000,0.213744,-0.911584,0.269864,-32.549999,49.419998,-37.590000,0.024400,-0.990152,0.274256,4.060000,4.760000,0.210000,-0.139568,1.046272,-0.043432,-1.680000,-8.540000,-2.100000
1746694132.417014,-0.120536,0.959896,-0.447008,-2.240000,-18.549999,3.920000,-0.753472,-0.203496,0.622200,9.870000,8.260000,-9.800000,0.055632,-0.909144,0.539240,4.970000,5.320000,-0.770000,0.252784,-0.913536,0.213256,-40.459999,56.910000,-42.840000,0.032208,-0.995520,0.273280,3.500000,3.780000,0.700000,-0.143472,1.041392,-0.047336,-0.910000,-9.940000,-0.700000
1746694132.462045,-0.125416,0.969168,-0.461648,0.490000,-16.520000,5.950000,-0.757376,-0.280112,0.648552,9.240000,7.420000,-6.860000,0.047336,-0.913536,0.546072,5.040000,7.140000,0.280000,0.482144,-0.938424,0.153232,-39.270000,65.099998,-39.200001,0.017568,-0.993568,0.267424,3.220000,2.730000,1.120000,-0.145912,1.040904,-0.056608,1.400000,-11.690000,0.070000
