Timestamp,IMU1_Val1,IMU1_Val2,IMU1_Val3,IMU1_Val4,IMU1_Val5,IMU1_Val6,IMU2_Val1,IMU2_Val2,IMU2_Val3,IMU2_Val4,IMU2_Val5,IMU2_Val6,IMU3_Val1,IMU3_Val2,IMU3_Val3,IMU3_Val4,IMU3_Val5,IMU3_Val6,IMU4_Val1,IMU4_Val2,IMU4_Val3,IMU4_Val4,IMU4_Val5,IMU4_Val6,IMU5_Val1,IMU5_Val2,IMU5_Val3,IMU5_Val4,IMU5_Val5,IMU5_Val6,IMU6_Val1,IMU6_Val2,IMU6_Val3,IMU6_Val4,IMU6_Val5,IMU6_Val6
1745851599.765722,0.339648,0.859368,0.391864,-0.770000,17.500000,-1.960000,-0.842288,0.072224,-0.560712,-17.780001,-18.480000,10.640000,0.047824,-0.410896,-0.852536,-6.020000,-2.940000,-15.400000,-0.157136,-0.979904,0.199104,-0.210000,-13.020000,-11.620000,0.176656,0.823744,0.433832,-2.870000,47.880001,2.730000,-0.096624,-0.673440,0.757376,20.440001,-23.940001,0.560000
1745851599.810417,0.343064,0.874984,0.388448,-2.310000,18.059999,-2.450000,-0.848144,0.076616,-0.565104,-21.840000,-19.180000,7.140000,0.044408,-0.415288,-0.851560,-6.580000,-3.710000,-15.540000,-0.142984,-0.978928,0.209840,1.540000,-11.620000,-11.830000,0.352336,0.898408,0.410896,-12.810000,45.709999,-2.520000,-0.090768,-0.667584,0.769576,22.959999,-19.530001,2.660000
1745851599.810425,0.343552,0.888160,0.381128,-3.710000,18.969999,-2.870000,-0.853512,0.088328,-0.561200,-22.260000,-19.389999,7.350000,0.040016,-0.414800,-0.856440,-6.160000,-3.780000,-15.470000,-0.120536,-0.987224,0.210328,1.960000,-12.390000,-12.110000,0.451400,1.054080,0.361120,-9.450000,32.970001,-5.740000,-0.078568,-0.671976,0.783728,25.969999,-17.500000,5.530000
1745851599.810441,0.346480,0.905240,0.374784,-4.690000,18.690001,-3.080000,-0.858880,0.099552,-0.553880,-24.080000,-17.500000,10.080000,0.042456,-0.418704,-0.861320,-6.090000,-0.770000,-15.820000,-0.109800,-0.991128,0.209840,1.050000,-14.560000,-12.320000,0.527040,1.137040,0.370392,-3.920000,10.920000,-4.970000,-0.075152,-0.699304,0.790560,25.270000,-16.309999,8.680000
1745851599.812692,0.350872,0.915976,0.378688,-3.430000,17.709999,-3.710000,-0.863272,0.106384,-0.546560,-24.990000,-16.870001,12.250000,0.050264,-0.417240,-0.864248,-6.860000,-0.560000,-15.750000,-0.090768,-0.990152,0.219112,0.700000,-15.190000,-12.950000,0.477264,1.193648,0.388448,4.620000,-2.240000,-4.480000,-0.072224,-0.713456,0.784216,22.120001,-13.860000,9.800000
1745851599.812701,0.340624,0.915488,0.373808,-1.330000,15.820000,-4.060000,-0.872056,0.105896,-0.538752,-29.820000,-19.809999,10.990000,0.058560,-0.415776,-0.864248,-6.720000,0.000000,-15.890000,-0.071736,-0.992592,0.223992,0.350000,-16.590000,-13.370000,0.263032,1.152656,0.416264,10.290000,-6.090000,-5.600000,-0.057096,-0.714432,0.778360,16.309999,-12.460000,10.290000
1745851599.812712,0.325984,0.906704,0.354288,-1.190000,16.170000,-4.340000,-0.875960,0.102968,-0.532408,-23.100000,-15.260000,12.110000,0.072224,-0.415776,-0.866688,-6.230000,3.290000,-15.750000,-0.037088,-0.996496,0.225944,-1.190000,-20.440001,-12.670000,0.091744,1.037976,0.429440,14.420000,3.640000,-6.440000,-0.042456,-0.693936,0.764208,10.990000,-13.160000,9.940000
1745851599.815018,0.312320,0.908656,0.342576,-4.620000,20.160000,-4.830000,-0.876936,0.105896,-0.522648,-24.219999,-14.280000,10.990000,0.080520,-0.417728,-0.871568,-5.880000,3.290000,-15.540000,-0.025376,-0.984784,0.239608,-3.010000,-22.750000,-11.900000,0.043432,0.820816,0.422120,15.260000,15.750000,-9.590000,-0.038064,-0.671976,0.738832,8.050000,-11.760000,8.750000
1745851599.815027,0.320616,0.915000,0.346968,-7.210000,20.930000,-5.180000,-0.867664,0.111752,-0.506056,-22.959999,-11.550000,14.980000,0.089792,-0.423096,-0.875960,-5.320000,3.430000,-15.470000,-0.016592,-0.970632,0.250832,-2.520000,-24.360001,-12.110000,0.199104,0.697840,0.412360,8.540000,20.160000,-13.090000,-0.016592,-0.637816,0.720776,5.740000,-11.900000,7.280000
1745851599.855610,0.326960,0.912072,0.355264,-6.020000,18.480000,-5.390000,-0.857416,0.117608,-0.486536,-21.559999,-10.500000,13.230000,0.095160,-0.424560,-0.875960,-5.040000,5.670000,-14.910000,-0.004880,-0.974536,0.256688,-2.380000,-26.110001,-11.130000,0.329400,0.724680,0.398208,0.210000,10.990000,-15.400000,-0.006344,-0.610000,0.704184,4.970000,-14.280000,6.510000
